Student_ID,Student_Name,Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Gender,Age
STU261,Rohan Joshi,6.5,87.3,48.9,90.4,A,Male,22
STU262,Shaurya Bansal,9.9,87.2,56.1,91.9,A,M,19
STU263,Vivaan Malhotra,2.3,86.8,34.7,71.3,B,Male,22
STU264,Sneha Iyer,5.7,97.7,49.8,95.6,A,F,-8
STU265,Manav Singh,8.9,92.9,40.3,43.9,D,Male,18
STU266,Karthik Mehta,7.7,61.7,35.6,46.8,D,Male,-21
STU267,Surya Reddy,7.3,78.8,45.2,75.8,B,Male,17
STU268,Surya Khanna,7.3,75.9,40.6,61.2,C,M,-18
STU269,Arjun Kumar,4.2,72.4,36,67.9,C,M,21
STU270,Ayushi Jain,,78.1,32.9,59.7,C,female,19
STU271,Anika Verma,8.3,75.4,43.4,64.3,C,F,20
STU272,Arjun Das,8.3,77.3,51.2,89.4,A,M,19
STU273,Vihaan Chopra,8.8,99.2,50.2,75.6,B,M,17
STU274,Vihaan Joshi,,63.5,54.7,99.8,A,M,17
STU275,Tanvi Singh,5.6,96.9,47,87.2,A,F,-6
STU276,Shruti Singh,5.5,79.2,35.8,56.4,C,female,22
STU277,Priya Patel,8.2,84.9,41.7,55.9,C,F,19
STU278,Aryan Gupta,6.8,93.2,41,60.2,C,Male,25
STU279,Ira Saxena,7.3,74.4,49.2,90.6,A,female,21
STU280,Reyansh Reddy,8.2,77.2,36.6,41.6,D,Male,24
STU281,Shaurya Gupta,9,76.4,41.8,53.8,D,M,17
STU282,Sneha Chopra,4,75,43.8,94.3,A,F,21
STU283,Vivaan Joshi,4.4,97,42,78.4,B,Male,19
STU284,Tanvi Kumar,1.8,93.2,29,53.6,D,female,17
STU285,Surya Mehta,6.2,64.4,34.8,53.1,D,Male,20
STU286,Shaurya Khanna,1.3,64.3,36.6,91.8,A,Male,21
STU287,Rahul Mehta,5.2,77.1,46.2,93.6,A,M,-6
STU288,Surya Joshi,5.9,63.9,34.8,55.4,C,Male,17
STU289,Harsh Joshi,3.6,84.8,35.2,65.2,C,Male,19
STU290,Yash Reddy,6.3,65.7,46.2,90.1,A,M,18
STU291,Sara Iyer,1.3,80.9,36.6,86.3,A,female,-5
STU292,Harsh Singh,1.3,60.3,35.3,88.8,A,M,-13
STU293,Krishna Reddy,8.4,72.7,45.4,71.1,B,Male,19
STU294,Navya Bansal,4.2,87.1,45.5,94.7,A,F,24
STU295,Dev Mehta,2.1,79.4,30,59.6,C,M,24
STU296,Krishna Joshi,5.7,99.1,36.1,49.4,D,M,18
STU297,Rohan Das,7.9,95,50,82.5,B,Male,22
STU298,Ritika Iyer,2.9,74.4,35,72.4,B,F,23
STU299,Myra Patel,6.6,61.8,46.8,91.3,A,female,18
STU300,Nisha Iyer,1.8,93.8,26.4,44.9,D,F,18
STU301,Aryan Chopra,1.5,96.4,39.8,90.6,A,M,17
STU302,Shruti Reddy,5.8,92.8,38.2,57.6,C,F,24
STU303,Saanvi Joshi,5.9,65.1,42.1,79.3,B,female,17
STU304,Saanvi Patel,6.7,99.9,36.1,42.4,D,F,-7
STU305,Tanvi Agarwal,7.5,70.3,45,76.6,B,F,-4
STU306,Tanvi Mehta,9.8,89,53.4,83,B,F,23
STU307,Yash Khanna,5.6,96.3,39.5,62.1,C,M,23
STU308,Shaurya Das,3.9,69.4,30.6,52.9,D,Male,19
STU309,Arjun Malhotra,8.2,96.3,47.7,72.3,B,Male,18
STU310,Ritika Agarwal,3.4,72.4,41,90,A,F,25
STU311,Aditya Khanna,5,99.1,37.7,59.4,C,M,24
STU312,Surya Agarwal,1.7,71.3,27.1,55.1,C,M,-20
STU313,Surya Iyer,1.2,98.1,29.2,56.7,C,M,25
STU314,Vihaan Kapoor,9.7,62.1,54.7,96.9,A,Male,20
STU315,Sai Das,8.5,88.4,44.3,61.6,C,M,20
STU316,Priya Malhotra,7.3,81.3,34.8,,D,F,-17
STU317,Vivaan Malhotra,4.7,79.1,43.4,86.9,A,Male,-13
STU318,Shaurya Malhotra,2.6,68.9,36.7,82,B,M,19
STU319,Shruti Saxena,2.4,88.2,27.9,47.7,D,F,-9
STU320,Manav Nair,3.3,67.6,,99.1,A,Male,18
STU321,Aryan Reddy,5.9,82.1,43,76.5,B,M,18
STU322,Ishita Kapoor,7.4,70.1,42.8,70,B,female,-11
STU323,Ayushi Patel,6.9,98.2,42.5,62.9,C,F,22
STU324,Ishita Jain,3.5,61.1,41.3,93.9,A,female,19
STU325,Vivaan Mehta,9.6,68,42.4,54.6,D,Male,25
STU326,Aryan Malhotra,7.6,69.7,39.3,57.1,C,M,22
STU327,Diya Das,6,76.6,33.8,47.3,D,F,22
STU328,Nisha Bansal,6.5,69.3,45.6,85.5,A,F,17
STU329,Ritika Chopra,4.8,79.7,40.3,75.7,B,F,20
STU330,Ayushi Reddy,3.2,94.9,38.8,76.5,B,female,22
STU331,Rahul Sharma,4.2,88.5,33.2,53.1,D,M,-9
STU332,Nikhil Iyer,7.8,83.2,47.6,79.1,B,M,21
STU333,Yash Joshi,1.1,63.6,34.3,85.9,A,M,17
STU334,Pooja Jain,2,87.8,31.2,61.5,C,female,-2
STU335,Aarav Malhotra,1.4,66.7,35.9,88.1,A,Male,21
STU336,Nisha Nair,1.4,91.5,30.2,60.9,C,female,-9
STU337,Aryan Malhotra,8.7,70,50,85.5,A,Male,23
STU338,Sara Kapoor,7.3,76.7,34.9,42,D,female,20
STU339,Surya Joshi,5.3,74,39.9,73.1,B,M,22
STU340,Yash Verma,1.9,94.4,42.7,98.2,A,M,20
STU341,Rohan Mehta,5.4,65.1,47,98.9,A,M,19
STU342,Ritika Kapoor,5.3,82.6,35.9,56.9,C,female,23
STU343,Nisha Iyer,2.6,65.7,31.7,66.5,C,F,24
STU344,Myra Reddy,4.9,88.2,31.8,43.8,D,female,20
STU345,Yash Chopra,4.6,96.2,46.5,92.4,A,Male,18
STU346,Meera Chopra,6.5,77.4,43,74.1,B,female,19
STU347,Krishna Gupta,6.7,79.5,40.3,63.1,C,Male,-10
STU348,Priya Kumar,1.4,97.1,26.6,46.8,D,female,24
STU349,Sneha Mehta,4.4,80.8,45.9,96.8,A,F,19
STU350,Myra Verma,6.6,79.5,42.7,71.8,B,F,-9
STU351,Harsh Iyer,5.5,83.1,36.4,57,C,M,21
STU352,Ayushi Kapoor,8.7,87.6,44.5,61,C,F,21
STU353,Sara Reddy,6.9,64.3,37.1,56.2,C,female,23
STU354,Nisha Malhotra,2.5,92.8,37.1,76.1,B,F,25
STU355,Reyansh Kumar,1.6,77.4,39.7,95.8,A,M,21
STU356,Meera Bansal,6.8,62.9,47.3,91.4,A,female,17
STU357,Arjun Gupta,1.2,91.4,31.8,67.6,C,Male,17
STU358,Tanvi Chopra,6.3,75.1,47,89.6,A,female,18
STU359,Vivaan Sharma,9.5,64,45,65.4,C,M,22
STU360,Meera Singh,6.2,85.4,37.5,55.1,C,F,25
STU361,Ayushi Patel,4.5,95.2,48.2,99,A,F,-25
STU362,Nisha Patel,6.8,95.5,40.6,58.2,C,female,21
STU363,Rahul Agarwal,5.1,98.3,37.8,59.4,C,Male,17
STU364,Sai Patel,5.9,94.7,51.1,99.4,A,Male,23
STU365,Dev Jain,9.5,60.1,39.4,48,D,Male,21
STU366,Krishna Mehta,4.5,75.2,42.2,85.6,A,Male,22
STU367,Diya Mehta,9.7,92.7,,96.1,A,female,23
STU368,Myra Gupta,,74.7,46.9,70.7,B,F,-19
STU369,Rohan Bansal,2.8,84.1,26.1,40.2,D,Male,19
STU370,Anika Saxena,1.6,84.3,30.4,62.5,C,female,21
STU371,Sneha Malhotra,1.9,74.6,25.3,46.7,D,female,22
STU372,Nisha Sharma,1.2,96.2,31.5,65,C,female,25
STU373,Nikhil Saxena,1.8,80.1,37.8,87.4,A,Male,21
STU374,Rohan Agarwal,7.1,78.6,41.9,66.3,C,Male,17
STU375,Priya Khanna,,99.9,33,65.9,C,female,20
STU376,Ayushi Verma,3.9,79.7,,73.4,B,female,21
STU377,Anika Kumar,8.6,67.1,46.4,74.9,B,female,-11
STU378,Shruti Singh,1.2,80.5,37.9,91.4,A,F,23
STU379,Ananya Mehta,8.3,92.6,,58.5,C,F,20
STU380,Vihaan Kapoor,3.5,91.1,42.9,89.3,A,M,17
STU381,Krishna Reddy,2.1,91.5,35.6,74,B,M,21
STU382,Dev Chopra,7.3,88.3,40.8,58,C,Male,-8
STU383,Kavya Gupta,6.7,70.2,37.7,57.7,C,F,22
STU384,Aarav Kapoor,8.9,94.5,45.8,61.7,C,M,21
STU385,Myra Malhotra,7.6,95.7,48,77.4,B,female,20
STU386,Diya Reddy,8.2,67.8,39.3,53.8,D,female,18
STU387,Reyansh Malhotra,3.5,65.2,42.1,95.2,A,Male,20
STU388,Arjun Das,2.6,99,37.4,,D,Male,19
STU389,Rohan Verma,7.8,94.7,53.6,95.2,A,M,-19
STU390,Pooja Khanna,8.3,95.7,39,42.8,D,female,24
STU391,Rahul Das,9.9,95.5,47.5,60.6,C,Male,21
STU392,Manav Reddy,4.7,81.7,30,41.4,D,Male,20
STU393,Aadhya Verma,4.3,85.9,34.1,56.3,C,F,24
STU394,Rahul Saxena,8,81.8,51.7,91.7,A,M,23
STU395,Reyansh Mehta,4.1,62,27.1,42.2,D,Male,18
STU396,Nikhil Nair,9.4,89.8,47.6,66.2,C,M,17
STU397,Sara Sharma,8.7,80.2,39.6,47.1,D,female,20
STU398,Reyansh Iyer,4.9,85.9,37.9,65,C,M,24
STU399,Nikhil Gupta,7.8,80.1,50.7,90.3,A,Male,18
STU400,Anika Joshi,7.8,79.7,46.8,77.4,B,F,19
STU401,Nikhil Mehta,1.9,66.9,,84.2,B,M,17
STU402,Reyansh Kumar,9.1,71.1,43.6,60.9,C,M,17
STU403,Ananya Kapoor,5.5,66.4,46.6,96.7,A,female,19
STU404,Meera Joshi,8.4,67.8,48.4,82.6,B,F,21
