Student_ID,Student_Name,Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Gender,Age,Study_Efficiency,Sleep_Hours,Internet_Usage_Hours
STU026,Reyansh Iyer,,66.1,41.7,63.1,C,M,23,,6.8,
STU027,Nisha Joshi,2.8,988.3095467,29.9,48.9,D,,20,0.69,9.6,5.3
STU028,Aryan Mehta,5.6,95.7,,41.3,,,25,0.56,4.3,3.0
STU029,Ishaan Sharma,6.3,,37.2,53.1,D,,-19,0.72,4.8,5.1
STU030,Vihaan Jain,,86.9,25.4,,D,M,-3,0.85,9.5,4.4
STU031,Sneha Verma,6.5,60.2,,87.1,A,female,19,0.57,9.0,4.3
STU032,Vihaan Malhotra,2.5,99.4,29.0,46.7,D,M,-11,0.88,,6.4
STU033,Ananya Verma,1.6,95.1,37.8,83.5,B,female,21,0.62,7.7,1.5
STU034,Vihaan Verma,,95.8,47.5,63.1,C,M,-7,0.65,6.9,5.4
STU035,Sneha Gupta,9.7,,,44.4,D,female,23,0.78,8.8,2.5
STU036,Aryan Mehta,8.3,73.8,,88.8,A,M,-18,0.52,5.3,6.2
STU037,Ayushi Das,3.7,95.7,39.4,74.8,B,,-13,0.64,7.0,2.4
STU038,Vivaan Patel,1.9,,,54.1,D,M,25,0.73,5.9,6.8
STU039,Aditya Chopra,,82.5,,93.7,A,Male,18,0.88,6.0,
STU040,Yash Chopra,5.0,64.0,,42.7,D,Male,-5,,5.5,2.1
STU041,Ira Kumar,2.1,96.9,,,,female,,0.72,7.4,5.3
STU042,Shaurya Verma,5.5,65.6,43.1,85.1,,Male,18,0.57,9.1,7.2
STU043,Meera Das,1.3,69.0,34.3,82.6,B,female,-5,0.8,9.7,4.9
STU044,Ira Bansal,,82.3,43.8,57.4,C,F,23,0.71,5.8,7.6
STU045,Rahul Reddy,3.3,90.6,28.8,43.7,D,Male,-1,0.66,9.0,2.9
STU046,Harsh Bansal,7.0,84.8,49.9,91.5,,Male,-16,0.94,4.8,5.8
STU047,Ayushi Khanna,3.8,69.3,32.2,58.8,C,female,unknown,0.82,5.6,2.1
STU048,Meera Malhotra,5.7,60.0,32.9,51.7,D,F,-16,0.83,6.2,7.5
STU049,Tanvi Chopra,5.9,90.3,42.1,71.0,B,F,18,0.61,9.5,5.7
STU050,Vihaan Verma,2.7,99.4,43.7,94.6,A,M,unknown,0.53,9.8,6.5
STU051,Tanvi Chopra,9.7,,,42.6,D,female,-7,0.92,7.2,7.0
STU052,Diya Das,8.0,78.4,49.6,85.9,A,female,18,0.55,9.2,7.6
STU053,Surya Patel,9.5,96.2,50.9,74.3,B,,,,4.7,3.7
STU054,Ayushi Nair,9.1,,45.5,65.5,C,female,22,0.6,7.9,5.8
STU055,Vivaan Jain,6.4,81.0,46.3,84.6,B,Male,20,0.54,9.1,2.2
STU056,Rohan Bansal,,79.1,55.9,97.9,A,,22,0.76,5.3,6.9
STU057,Reyansh Reddy,1.8,77.9,27.5,,D,Male,,0.63,7.3,
STU058,Ishita Chopra,2.8,91.0,29.3,48.6,D,female,18,0.81,5.4,6.4
STU059,Karthik Jain,1.4,81.1,39.3,94.8,A,M,-1,0.88,,6.8
STU060,Aarav Agarwal,3.9,,412.7188477,80.1,B,M,24,0.83,,3.8
STU061,Navya Das,4.5,70.3,35.9,66.3,C,F,23,0.56,,
STU062,Pooja Kapoor,3.4,61.5,35.3,74.4,B,female,25,0.66,4.4,4.3
STU063,Aadhya Joshi,8.5,83.3,50.7,84.7,B,,,0.7,6.8,5.9
STU064,Ananya Jain,4.2,69.2,41.2,86.4,,female,-16,0.84,4.2,4.3
STU065,Harsh Reddy,3.5,65.9,,95.2,A,M,18,0.57,5.4,6.2
STU066,Krishna Agarwal,5.9,86.2,40.1,65.6,C,Male,21,,,3.8
STU067,Meera Saxena,2.3,87.2,30.6,57.6,C,female,,0.69,,6.9
STU068,Reyansh Reddy,58.29434076,90.1,48.9,78.4,B,,25,0.71,6.4,5.1
STU069,Sai Agarwal,1.7,80.1,30.9,,C,M,25,,4.8,4.4
STU070,Sai Malhotra,,95.8,52.1,75.7,,M,unknown,0.74,,3.8
STU071,Surya Mehta,8.0,97.5,45.3,65.2,C,,25,0.85,74.26664095,6.1
STU072,Rohan Gupta,2.8,92.3,29.6,49.2,D,M,23,0.75,7.5,7.3
STU073,Priya Patel,1.0,85.4,31.0,68.2,,F,25,0.8,9.0,
STU074,Vivaan Kapoor,8.3,72.1,,,B,M,24,0.84,7.4,4.6
STU075,Dev Bansal,7.4,99.3,,88.0,A,M,17,0.64,,4.3
STU076,Navya Bansal,7.6,,43.2,69.6,C,female,24,0.68,,1.9
STU077,Ira Malhotra,7.9,68.1,37.6,49.9,,female,-20,0.57,,4.2
STU078,Aadhya Iyer,1.7,77.7,30.6,64.9,C,female,19,0.61,9.6,
STU079,Ishaan Saxena,,,40.8,,A,M,17,0.62,8.8,
STU080,Nikhil Khanna,2.0,99.1,33.3,64.8,C,M,24,0.58,5.2,4.7
STU081,Ira Khanna,8.8,83.5,50.5,81.8,,F,-17,0.98,8.2,1.9
STU082,Ishaan Mehta,6.6,82.3,42.6,70.4,B,,,0.72,6.8,5.1
STU083,Surya Nair,4.0,,33.0,54.5,D,M,17,0.72,6.0,
STU084,Surya Saxena,1.6,,37.5,,A,Male,21,0.84,6.6,5.9
STU085,Harsh Joshi,3.8,61.3,27.3,,D,M,23,0.9,6.1,4.6
STU086,Yash Saxena,3.9,84.5,37.7,71.5,B,,25,0.6,6.5,5.4
STU087,Sara Bansal,7.6,88.6,39.8,52.5,D,female,unknown,0.84,8.1,7.4
STU088,Aditya Das,,76.7,34.3,,D,,25,0.79,9.6,7.4
STU089,Diya Gupta,9.0,90.3,48.1,,B,,,0.7,6.6,1.9
STU090,Rohan Agarwal,5.2,69.1,38.3,70.0,B,,unknown,0.52,9.0,5.3
STU091,Ananya Chopra,61.5171961,,35.8,82.4,B,female,,,6.9,3.9
STU092,Ananya Saxena,,66.5,46.9,84.7,B,F,23,0.98,9.5,
STU093,Nisha Agarwal,7.8,,,83.7,B,female,-11,8.12778505,8.4,7.8
STU094,Ishaan Singh,6.1,93.9,41.0,64.6,C,M,24,0.85,5.1,7.6
STU095,Sara Khanna,7.9,,48.5,,B,,-9,0.74,4.9,4.7
STU096,Rahul Jain,5.4,75.3,,74.6,B,Male,19,0.64,6.5,7.4
STU097,Dev Nair,,83.6,39.4,65.3,C,,-13,,6.2,2.5
STU098,Ishita Malhotra,4.8,88.8,41.2,75.8,B,F,22,0.95,8.0,7.4
STU099,Krishna Joshi,1.2,69.6,38.4,96.8,A,,19,0.75,8.5,5.9
STU100,Myra Kapoor,,66.7,26.2,51.6,D,female,17,0.96,8.3,3.8
STU101,Priya Reddy,,98.9,40.8,94.3,A,F,19,0.96,,6.3
STU102,Vivaan Bansal,6.7,84.7,34.8,43.2,D,Male,-11,0.64,5.3,1.9
STU103,Aadhya Khanna,3.8,99.3,35.1,58.5,C,female,,,5.7,1.9
STU104,Yash Kapoor,5.6,73.5,,57.3,C,Male,-25,0.61,,6.8
STU105,Pooja Singh,9.2,,50.5,77.6,B,female,unknown,0.89,7.3,3.0
STU106,Harsh Mehta,3.2,68.9,,47.9,D,M,23,0.65,4.6,4.5
STU107,Kavya Das,4.7,70.4,44.3,92.9,A,female,,0.76,,1.4
STU108,Krishna Malhotra,7.8,80.5,50.6,89.7,,Male,-1,0.92,4.3,7.0
STU109,Meera Sharma,,72.8,37.2,79.1,B,female,-25,0.64,,4.6
STU110,Ishaan Singh,,,,67.5,C,,23,0.78,7.8,
STU111,Kavya Iyer,3.6,70.5,43.0,96.0,,F,17,0.94,9.3,3.3
STU112,Aadhya Bansal,,61.4,38.1,89.8,A,F,20,0.5,5.3,3.8
STU113,Krishna Das,9.4,88.2,48.6,70.0,B,,,0.83,9.2,5.2
STU114,Myra Chopra,8.3,79.7,49.2,82.1,B,female,21,0.79,8.0,1.7
STU115,Sai Agarwal,,63.8,42.0,74.0,B,M,,0.74,8.5,4.9
STU116,Nisha Chopra,8.8,66.9,46.9,75.3,B,F,23,0.83,9.9,
STU117,Saanvi Bansal,,64.1,40.8,59.9,C,female,,0.63,,4.8
STU118,Anika Sharma,2.7,84.5,34.2,67.7,C,female,177.7096568,0.83,,3.5
STU119,Rohan Sharma,9.0,63.8,37.8,44.7,D,M,19,0.75,6.4,4.2
STU120,Manav Kumar,5.9,90.2,39.2,61.4,C,M,-20,,9.4,4.6
STU121,Aadhya Bansal,8.3,60.8,47.2,81.7,B,female,,0.77,6.2,
STU122,Navya Jain,9.1,70.0,,97.2,A,female,25,0.55,9.7,3.3
STU123,Sneha Bansal,3.9,95.6,46.7,97.8,,female,21,0.6,,6.1
STU124,Rahul Joshi,2.0,88.7,34.9,73.3,B,M,22,0.98,9.0,5.5
STU125,Aditya Malhotra,3.1,62.9,35.4,76.4,B,,20,,9.4,4.1
STU126,Ananya Jain,4.8,,34.2,51.1,D,F,23,0.67,4.6,
STU127,Nisha Joshi,8.4,79.7,,,B,F,25,0.53,4.5,7.6
STU128,Aryan Agarwal,,93.9,40.0,44.2,D,M,23,,7.7,1.7
STU129,Diya Agarwal,1.1,,27.7,57.1,C,,17,0.79,8.9,
STU130,Ayushi Kapoor,5.6,,44.0,80.1,B,F,,0.61,6.8,1.1
STU131,Vihaan Saxena,4.8,,37.2,58.6,C,,25,0.57,4.3,5.9
STU132,Ritika Iyer,3.0,69.3,25.8,43.0,D,F,-5,0.51,,3.3
STU133,Tanvi Sharma,2.1,85.0,39.7,89.9,A,F,20,0.97,9.1,3.4
STU134,Nisha Khanna,4.0,78.4,33.4,58.6,C,,,,8.1,6.0
STU135,Arjun Kumar,9.5,61.6,38.3,43.8,D,M,19,0.72,9.1,5.4
STU136,Sara Mehta,3.9,60.6,,44.5,,,-22,0.63,4.5,3.9
STU137,Kavya Jain,5.7,64.8,34.4,55.1,C,female,22,0.87,,
STU138,Nisha Iyer,7.3,86.0,38.4,50.7,D,F,24,0.91,8.7,5.1
STU139,Ananya Singh,4.3,82.7,42.8,,A,,25,1.0,7.4,5.8
STU140,Ayushi Joshi,9.7,82.1,45.4,59.3,C,female,21,0.79,,
STU141,Ira Patel,,61.3,52.0,88.3,A,female,17,,8.9,5.3
STU142,Myra Reddy,3.3,78.8,,50.4,D,female,19,0.82,5.0,
STU143,Dev Reddy,5.5,97.0,41.6,69.6,C,Male,-12,0.99,6.6,4.3
STU144,Rahul Chopra,3.7,75.9,39.4,81.3,B,,22,0.96,8.5,3.1
STU145,Harsh Das,,85.0,39.4,759.704329,B,M,-6,0.59,4.9,8.0
STU146,Aarav Kumar,,91.2,34.6,76.1,B,M,25,0.64,6.1,4.6
STU147,Surya Saxena,6.5,91.4,50.8,95.5,A,M,,0.56,7.0,4.9
STU148,Ishaan Bansal,5.5,80.8,35.2,53.7,D,Male,17,0.93,72.42014968,2.4
STU149,Krishna Verma,,94.3,33.3,,C,Male,17,0.85,10.0,4.4
STU150,Aditya Agarwal,3.5,75.7,42.5,93.0,A,M,20,0.99,5.8,5.3
STU151,Manav Saxena,9.2,95.5,41.4,44.7,,M,23,0.72,4.3,5.0
STU152,Arjun Iyer,3.2,69.6,26.4,43.4,D,M,18,,6.1,3.3
STU153,Navya Saxena,2.3,71.2,27.9,54.0,D,female,19,0.77,,3.9
STU154,Ananya Verma,5.4,62.1,407.8609752,78.0,B,F,17,,7.7,6.5
STU155,Shaurya Singh,9.9,91.8,45.7,55.6,C,Male,21,0.64,,
STU156,Dev Mehta,3.2,76.7,29.5,51.4,D,Male,17,,6.1,7.2
STU157,Shruti Malhotra,56.92833046,69.2,,67.5,C,female,,,8.2,7.3
STU158,Manav Nair,7.9,,,76.8,B,,17,0.55,9.9,1.3
STU159,Rahul Saxena,3.1,96.1,32.3,54.9,D,M,17,1.0,6.4,4.7
STU160,Karthik Das,,93.4,41.9,,D,Male,18,0.92,4.4,6.1
STU161,Meera Mehta,,82.1,39.8,76.8,B,female,,0.85,4.0,6.6
STU162,Ishita Verma,,84.6,50.9,96.7,A,F,22,0.75,4.7,
STU163,Surya Singh,6.7,79.0,45.4,80.5,B,M,23,0.54,9.6,1.4
STU164,Vivaan Kapoor,5.8,75.7,,87.0,A,Male,21,0.74,8.9,7.6
STU165,Vihaan Agarwal,1.8,96.6,31.9,62.0,C,M,,0.51,9.0,6.2
STU166,Nisha Jain,8.5,65.0,40.4,56.3,C,F,17,0.53,6.4,2.2
STU167,Reyansh Bansal,3.9,76.7,35.7,,,,19,0.51,,5.5
STU168,Rohan Joshi,2.7,73.8,39.3,88.4,A,M,,0.74,8.6,7.3
STU169,Nisha Jain,1.4,79.9,31.0,67.4,C,female,21,0.96,7.9,6.8
STU170,Tanvi Khanna,6.3,78.3,47.7,90.8,A,female,-5,0.63,5.3,
STU171,Kavya Das,7.1,80.8,52.1,99.3,,F,23,0.62,4.2,6.6
STU172,Diya Saxena,1.1,65.6,22.0,44.3,,F,20,0.79,8.8,6.9
STU173,Navya Kapoor,5.6,80.5,32.1,42.7,D,F,23,0.55,6.9,1.1
STU174,Harsh Verma,3.0,69.7,27.7,49.0,D,Male,24,0.68,8.5,5.5
STU175,Shruti Das,6.8,,39.3,63.1,C,F,17,0.57,9.5,1.4
STU176,Krishna Patel,2.6,62.6,25.8,47.9,D,,22,0.81,,
STU177,Aditya Sharma,7.2,,51.1,92.2,A,M,24,0.85,4.6,1.2
STU178,Sneha Nair,4.5,77.1,29.1,41.4,D,female,21,,,3.0
STU179,Reyansh Joshi,9.4,,45.0,58.9,,M,20,0.8,6.0,4.6
STU180,Ishita Khanna,2.2,89.1,28.6,51.1,D,female,unknown,0.81,5.8,4.6
STU181,Myra Saxena,4.1,87.2,,95.9,A,F,22,0.67,4.6,
STU182,Aditya Joshi,2.0,78.8,35.9,80.2,,M,,0.91,7.5,3.2
STU183,Vihaan Jain,,75.5,54.6,94.7,A,M,17,,,4.1
STU184,Ayushi Reddy,8.9,75.0,54.8,98.3,A,F,25,0.51,6.0,2.0
STU185,Manav Malhotra,3.3,85.6,36.1,69.8,C,M,-16,0.94,4.7,3.2
STU186,Aarav Sharma,6.9,79.8,38.0,54.1,D,Male,,0.67,10.0,4.6
STU187,Ira Khanna,,94.0,41.7,51.6,D,female,20,0.61,5.6,4.6
STU188,Sara Gupta,,95.0,37.5,53.4,D,,20,0.66,6.8,5.8
STU189,Shaurya Nair,5.8,66.8,43.0,82.5,B,,19,0.65,5.6,5.5
STU190,Sai Bansal,3.2,65.4,25.7,,D,Male,19,0.72,4.7,
STU191,Ira Reddy,1.8,85.2,,43.1,,,19,0.75,5.3,2.8
STU192,Rohan Malhotra,9.1,72.0,48.4,76.5,B,M,20,0.79,6.6,1.1
STU193,Saanvi Malhotra,9.1,60.7,47.8,78.5,B,female,23,0.99,,4.5
STU194,Dev Sharma,6.7,95.5,46.9,79.9,B,Male,20,8.239683384,7.0,1.1
STU195,Harsh Patel,,,,62.3,C,M,unknown,,,1.3
STU196,Harsh Malhotra,,,,825.6110353,D,,17,,4.5,7.5
STU197,Saanvi Singh,,88.7,45.5,72.0,B,F,24,,,
STU198,Saanvi Kapoor,9.1,90.5,41.1,46.3,D,female,23,0.9,4.9,2.8
STU199,Ayushi Khanna,9.0,68.1,51.2,87.8,A,F,18,0.74,83.07747274,
STU200,Ira Chopra,8.0,69.4,52.1,97.2,A,female,24,0.76,5.2,4.7
STU201,Ayushi Kapoor,,80.9,,43.6,D,F,17,0.93,7.7,
STU202,Saanvi Joshi,1.8,66.9,29.3,63.5,,F,25,0.74,8.9,3.4
STU203,Dev Reddy,,72.2,33.0,69.3,C,Male,,0.75,7.5,2.9
STU204,Vivaan Reddy,9.1,72.9,40.1,,D,,18,0.67,7.4,7.1
STU205,Rohan Iyer,6.5,66.4,47.3,92.1,A,,23,0.94,6.9,3.3
STU206,Ishita Sharma,1.1,68.2,26.1,57.0,C,,19,0.7,8.7,
STU207,Surya Bansal,1.9,91.5,39.0,,A,Male,194.1949919,0.71,4.3,6.0
STU208,Navya Chopra,7.0,66.7,44.8,80.3,B,F,25,0.82,,5.4
STU209,Meera Khanna,1.0,61.1,30.9,75.9,B,F,-2,0.79,9.1,5.5
STU210,Sai Reddy,2.4,85.2,28.8,51.5,D,M,17,0.84,,3.8
STU211,Myra Agarwal,5.9,99.0,37.7,53.2,D,female,18,0.82,,
STU212,Ananya Agarwal,7.2,73.2,,42.8,D,F,17,0.67,7.1,2.9
STU213,Rahul Joshi,,64.7,,,D,M,21,0.81,,1.3
STU214,Vihaan Jain,3.0,82.8,32.5,60.7,C,M,,0.88,5.4,2.1
STU215,Saanvi Kapoor,,,51.4,90.0,A,F,,0.8,,7.5
STU216,Tanvi Gupta,3.1,,,62.0,C,,25,0.64,8.2,
STU217,Myra Patel,3.9,84.9,41.9,85.3,A,female,,0.87,8.9,4.5
STU218,Vihaan Iyer,7.7,72.6,42.6,66.4,C,M,19,0.85,85.75683356,2.3
STU219,Rohan Saxena,,81.7,47.9,87.1,,,19,0.84,6.7,1.6
STU220,Vihaan Iyer,8.6,63.6,53.1,,A,M,,0.99,7.6,7.6
STU221,Ira Reddy,6.9,,,54.4,D,female,-3,0.86,7.0,2.9
STU222,Arjun Das,6.1,,48.6,91.7,A,M,24,0.68,7.9,7.3
STU223,Aarav Gupta,1.8,98.6,36.6,,B,Male,,0.68,4.7,6.9
STU224,Yash Iyer,4.3,,42.3,89.0,,,24,0.56,4.1,1.7
STU225,Surya Khanna,3.4,60.7,36.6,79.1,B,M,17,0.98,7.6,5.4
STU226,Reyansh Verma,,81.8,34.2,65.4,C,,,0.96,5.3,5.6
STU227,Aryan Nair,,88.3,44.5,53.7,D,Male,20,0.57,5.8,6.5
STU228,Ananya Iyer,4.5,91.6,,44.2,D,,17,,4.3,2.1
STU229,Sai Jain,9.0,67.7,46.4,72.1,B,M,24,0.7,4.5,1.5
STU230,Kavya Kumar,6.7,70.5,,99.4,A,,-13,,5.1,
STU231,Vivaan Chopra,,80.5,49.7,,B,,22,0.75,9.7,5.8
STU232,Ayushi Verma,5.5,73.2,36.2,59.6,C,,24,0.95,,1.4
STU233,Krishna Iyer,6.2,94.4,48.7,,A,Male,unknown,,5.0,7.0
STU234,Navya Gupta,5.4,,44.5,86.1,A,female,19,0.54,7.9,7.0
STU235,Pooja Kumar,2.8,92.0,31.9,56.9,C,,unknown,0.81,9.1,
STU236,Navya Nair,7.5,83.2,35.6,40.9,D,F,19,0.52,6.0,1.0
STU237,Myra Iyer,3.5,90.9,,,D,,25,0.58,8.7,1.8
STU238,Nikhil Reddy,1.2,73.3,37.5,92.6,,Male,18,,5.9,2.0
STU239,Reyansh Kumar,6.8,93.3,,90.2,,Male,18,0.7,4.2,7.4
STU240,Vivaan Mehta,2.6,71.0,29.6,57.7,C,M,179.1852607,0.7,9.7,5.1
STU241,Karthik Patel,9.5,81.8,44.3,,,M,,0.81,7.7,2.6
STU242,Sneha Jain,,68.6,52.3,87.6,A,F,19,0.75,4.3,2.0
STU243,Vivaan Bansal,9.2,79.0,55.2,96.3,A,Male,25,0.53,8.5,1.3
STU244,Vivaan Bansal,4.3,72.7,41.9,,A,Male,20,0.85,,
STU245,Ananya Mehta,1.1,70.7,32.2,76.3,,,17,0.96,4.9,3.3
STU246,Sara Chopra,,98.7,45.0,54.6,D,F,-25,0.68,6.3,7.8
STU247,Aadhya Khanna,4.9,66.4,,71.5,B,female,17,,8.9,
STU248,Aadhya Nair,,91.5,,54.0,D,F,21,0.77,9.6,1.3
STU249,Ira Singh,9.7,99.4,,,A,female,-11,0.87,6.6,4.4
STU250,Nikhil Jain,8.7,60.8,439.6254939,63.2,,,,0.77,9.5,6.1
STU251,Kavya Gupta,3.7,88.0,,90.0,,F,24,0.63,,2.3
STU252,Ananya Chopra,4.5,70.1,,62.9,C,F,,,,2.5
STU253,Pooja Nair,8.7,61.6,50.4,,A,F,-24,0.62,7.5,
STU254,Saanvi Verma,3.9,76.1,423.0219354,,C,female,,0.96,,6.5
STU255,Aadhya Kapoor,2.5,97.4,,66.4,C,F,17,0.59,5.6,7.0
STU256,Myra Das,6.0,60.5,41.1,,B,F,19,0.87,7.2,
STU257,Sai Chopra,9.4,83.5,40.4,44.2,D,Male,22,0.75,8.4,4.0
STU258,Arjun Reddy,7.3,,51.7,96.9,,Male,23,0.93,7.5,7.5
STU259,Aryan Agarwal,6.1,94.9,44.0,74.4,,Male,22,0.52,8.0,7.2
STU260,Anika Saxena,,63.4,31.3,709.2787104,B,F,-10,0.93,7.0,
STU261,Rohan Joshi,6.5,87.3,48.9,716.0591242,A,Male,22,0.6,8.8,4.4
STU262,Shaurya Bansal,9.9,87.2,,,A,M,19,0.92,5.7,
STU263,Vivaan Malhotra,,86.8,34.7,71.3,B,,,,9.8,1.3
STU264,Sneha Iyer,5.7,97.7,49.8,95.6,A,,-8,,8.9,6.9
STU265,Manav Singh,8.9,92.9,40.3,43.9,D,Male,18,0.74,6.0,4.6
STU266,Karthik Mehta,,61.7,35.6,46.8,D,,-21,0.5,5.6,2.5
STU267,Surya Reddy,7.3,78.8,45.2,,B,Male,17,0.79,4.1,2.6
STU268,Surya Khanna,7.3,75.9,40.6,811.4977534,C,M,,0.66,5.6,1.7
STU269,Arjun Kumar,4.2,72.4,36.0,67.9,,M,21,0.63,8.4,6.1
STU270,Ayushi Jain,,78.1,32.9,59.7,C,female,19,0.69,6.7,
STU271,Anika Verma,8.3,75.4,43.4,64.3,C,F,,0.6,9.5,
STU272,Arjun Das,8.3,77.3,51.2,89.4,A,,19,0.78,4.4,2.4
STU273,Vihaan Chopra,8.8,99.2,50.2,75.6,B,M,,0.83,4.6,7.1
STU274,Vihaan Joshi,,,54.7,99.8,A,M,17,0.93,,1.3
STU275,Tanvi Singh,5.6,96.9,47.0,87.2,A,F,-6,0.88,6.4,7.7
STU276,Shruti Singh,,79.2,35.8,,C,female,,0.78,6.1,
STU277,Priya Patel,8.2,84.9,41.7,55.9,C,F,19,0.8,4.6,7.6
STU278,Aryan Gupta,6.8,93.2,41.0,60.2,C,,,0.71,9.4,4.3
STU279,Ira Saxena,7.3,74.4,49.2,90.6,A,female,21,0.64,,6.5
STU280,Reyansh Reddy,8.2,77.2,36.6,41.6,D,Male,24,0.67,4.4,3.4
STU281,Shaurya Gupta,9.0,76.4,41.8,53.8,D,,,0.8,5.2,4.9
STU282,Sneha Chopra,4.0,75.0,43.8,94.3,,F,-8,0.72,6.6,7.3
STU283,Vivaan Joshi,4.4,97.0,,,B,Male,unknown,0.94,9.1,6.1
STU284,Tanvi Kumar,1.8,93.2,29.0,53.6,D,female,,0.88,8.9,7.8
STU285,Surya Mehta,6.2,64.4,34.8,,D,Male,20,0.55,8.7,2.3
STU286,Shaurya Khanna,1.3,64.3,36.6,91.8,A,Male,21,0.68,5.3,1.6
STU287,Rahul Mehta,5.2,77.1,46.2,93.6,A,M,-6,0.55,5.5,1.4
STU288,Surya Joshi,5.9,63.9,34.8,55.4,C,Male,17,0.99,6.7,5.4
STU289,Harsh Joshi,3.6,84.8,,65.2,C,Male,19,7.550119601,,1.3
STU290,Yash Reddy,6.3,65.7,46.2,90.1,A,M,18,,,3.3
STU291,Sara Iyer,1.3,80.9,36.6,86.3,A,female,,0.57,7.1,1.7
STU292,Harsh Singh,,60.3,35.3,88.8,A,M,-13,0.8,5.2,4.5
STU293,Krishna Reddy,8.4,72.7,45.4,71.1,B,Male,19,0.75,8.4,2.1
STU294,Navya Bansal,4.2,87.1,,94.7,A,F,unknown,0.86,5.4,45.91667395
STU295,Dev Mehta,2.1,,30.0,,C,M,,7.717906567,7.3,1.4
STU296,Krishna Joshi,,99.1,,,,M,18,0.88,9.6,4.5
STU297,Rohan Das,7.9,95.0,50.0,82.5,B,Male,22,0.71,5.2,4.8
STU298,Ritika Iyer,2.9,74.4,35.0,72.4,B,F,23,0.55,6.5,
STU299,Myra Patel,6.6,61.8,,91.3,A,female,18,0.73,7.2,2.1
STU300,Nisha Iyer,1.8,93.8,26.4,44.9,D,F,18,0.73,7.4,4.4
STU301,Aryan Chopra,,96.4,39.8,,A,M,17,0.83,7.0,
STU302,Shruti Reddy,5.8,92.8,38.2,57.6,C,F,24,0.87,6.9,3.7
STU303,Saanvi Joshi,5.9,65.1,42.1,79.3,B,female,17,0.85,6.8,6.3
STU304,Saanvi Patel,6.7,99.9,36.1,42.4,D,F,-7,0.59,,3.0
STU305,Tanvi Agarwal,7.5,70.3,45.0,76.6,B,,,0.6,5.1,6.2
STU306,Tanvi Mehta,9.8,89.0,53.4,83.0,B,F,23,0.9,5.8,
STU307,Yash Khanna,,96.3,39.5,62.1,,M,23,0.87,6.2,1.2
STU308,Shaurya Das,3.9,69.4,469.0130584,52.9,D,Male,19,0.95,7.5,
STU309,Arjun Malhotra,8.2,,47.7,72.3,B,Male,18,,9.6,2.2
STU310,Ritika Agarwal,3.4,72.4,41.0,90.0,A,F,25,0.92,9.2,3.3
STU311,Aditya Khanna,5.0,99.1,37.7,,C,M,24,,4.5,2.2
STU312,Surya Agarwal,1.7,71.3,27.1,55.1,C,M,-20,0.53,,5.3
STU313,Surya Iyer,1.2,863.4715737,29.2,56.7,C,M,25,0.8,7.4,4.3
STU314,Vihaan Kapoor,9.7,62.1,54.7,819.4647161,A,Male,20,0.69,8.0,52.62107156
